Gene Symbol	RefSeq ID	Transcript Length	LVST #1	LVST #2	LVST #3	LVST #4	LVS #5	LVST #6	cMVST #1	cMVST #2	cMVST #3	Caudal Control #1 	Caudal Control #2	Caudal Control #3	Caudal Control #4	Medial Control #1	Medial Control #2	Medial Control #3	Medial Control #4
Ctnnbl1	NM_025680	2731	306	827	220	204	243	308	205	220	94	270	136	66	113	411	573	950	633
Ctnnd1	NM_001085448	5294	3306	2741	1062	947	2763	2152	1130	1594	1872	2541	3378	1043	1353	2986	4162	6119	3672
Ctnnd1	NM_001085449	5047	3186	2642	990	908	2777	2122	1053	1593	1886	2366	3264	1022	1326	2956	4108	5997	3599
Ctnnd1	NM_001085450	5357	3325	2744	1063	958	2791	2156	1132	1594	1888	2553	3399	1048	1354	2996	4175	6134	3679
Ctnnd1	NM_001085453	5046	3288	2735	1054	939	2757	2152	1128	1594	1864	2523	3347	1039	1351	2983	4156	6102	3660
Ctnnd1	NM_007615	5475	3362	2761	1090	960	2791	2156	1133	1594	1892	2619	3470	1054	1358	3018	4189	6159	3699
Ctnnd2	NM_008729	5946	6808	6945	1945	2625	4847	5121	1823	1956	2285	5262	3834	1687	2228	3890	4395	6499	4042
Ctns	NM_031251	3010	176	221	52	147	50	154	94	44	181	165	202	162	100	137	247	354	240
Ctps	NM_016748	2705	613	667	366	498	543	560	140	669	353	624	366	270	316	362	605	1004	616
Ctps2	NM_001168568	5454	989	1065	575	345	1622	1212	520	1837	801	770	780	323	176	1115	1180	1882	1171
Ctps2	NM_001168569	5511	991	1099	575	346	1622	1213	520	1837	801	771	784	325	176	1115	1180	1883	1173
Ctps2	NM_001168571	5433	915	1093	516	340	1607	1206	503	1834	784	761	782	312	169	1082	1139	1830	1152
Ctps2	NM_018737	5586	992	1116	575	347	1622	1213	520	1837	801	771	786	325	176	1115	1180	1884	1173
Ctps2	NR_033143	5476	986	1043	575	343	1622	1212	520	1837	801	744	768	323	173	1115	1180	1879	1168
Ctr9	NM_009431	4300	1529	2368	787	662	2064	1370	961	852	437	1163	631	622	556	1239	1750	2692	1573
Ctrb1	NM_025583	887	0	15	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1
Ctrc	NM_001033875	957	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Ctrl	NM_023182	888	83	29	26	22	32	133	8	48	1	0	0	8	12	23	19	42	26
Cts3	NM_026906	1381	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0
Cts6	NM_021445	1323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cts7	NM_019539	1493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cts8	NM_019541	2493	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cts8-ps	NR_027871	4219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsa	NM_001038492	3547	646	451	117	140	191	118	237	202	369	555	152	241	291	329	657	967	583
Ctsa	NM_008906	3674	648	454	118	142	191	118	237	202	369	556	152	241	291	329	660	968	586
Ctsb	NM_007798	4738	3159	2869	833	744	2001	900	689	1320	624	2292	1320	455	448	1147	1355	1947	1303
Ctsc	NM_009982	2472	0	0	0	9	0	0	0	0	0	79	0	28	15	36	45	72	57
Ctsd	NM_009983	1954	2114	2864	496	915	898	1774	376	1559	571	967	590	443	562	609	1615	2273	1453
Ctse	NM_007799	2120	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
Ctsf	NM_019861	1975	494	415	146	116	35	6	34	40	130	713	282	115	130	94	177	265	176
Ctsg	NM_007800	1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsh	NM_007801	1623	2	12	0	0	0	66	0	0	0	9	0	2	7	13	36	34	27
Ctsj	NM_012007	1271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsk	NM_007802	1482	6	0	0	0	0	0	0	0	1	5	0	3	1	21	23	20	13
Ctsl	NM_009984	1971	1658	2802	699	654	2583	1332	661	1583	666	712	736	240	308	1334	1628	2706	1626
Ctsll3	NM_027344	1332	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Ctsm	NM_022326	1204	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Ctso	NM_177662	3453	27	79	26	2	0	0	0	0	21	7	0	9	21	111	148	287	173
Ctsq	NM_029636	1326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsr	NM_020284	1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctss	NM_021281	1355	0	0	0	0	0	0	0	0	0	0	0	0	8	87	140	229	137
Ctsw	NM_009985	1232	55	0	145	5	29	0	0	0	0	0	0	5	6	7	7	20	11
Ctsz	NM_022325	1393	97	80	55	54	352	47	55	30	138	84	128	34	50	172	181	344	201
Cttn	NM_007803	3029	827	2185	754	455	712	1729	541	722	833	775	1017	399	583	854	1033	1615	956
Cttnbp2	NM_080285	5931	849	924	419	426	1993	939	1070	1873	945	880	685	355	383	791	919	1565	945
Cttnbp2nl	NM_001163332	4836	3622	3195	1226	1715	2868	3980	1891	3451	1544	2676	2561	1230	1534	3460	3651	5289	3210
Cttnbp2nl	NM_001163333	4828	3622	3195	1226	1715	2868	3980	1891	3451	1544	2676	2561	1230	1534	3460	3651	5289	3210
Cttnbp2nl	NM_030249	4944	3592	3139	1226	1711	2868	3980	1891	3451	1543	2672	2557	1229	1535	3461	3651	5287	3209
Ctu1	NM_145582	2459	218	53	115	144	428	305	37	231	35	33	124	56	33	123	148	216	140
Ctu2	NM_153775	3066	293	346	82	143	438	555	47	155	100	260	138	103	126	83	128	217	146
Ctxn1	NM_183315	1226	5746	5475	1074	1080	1960	1210	1251	1878	1810	3523	4093	913	836	570	1136	1507	999
Ctxn2	NM_001162934	1030	42	23	41	31	56	1	0	0	107	15	1	5	14	22	33	41	32
Ctxn3	NM_001134697	1472	0	0	0	0	0	0	0	0	0	0	0	0	0	13	17	15	7
Cubn	NM_001081084	11325	31	63	81	12	69	0	0	33	0	42	8	16	6	51	55	118	69
Cuedc1	NM_001172099	2990	308	580	194	161	167	222	52	148	63	1035	344	288	155	174	337	510	303
Cuedc1	NM_198013	3179	308	573	194	161	167	222	52	148	63	1040	344	289	155	174	337	509	303
Cuedc2	NM_001164290	1941	844	643	523	548	1564	213	485	616	880	832	1524	349	284	209	374	670	396
Cuedc2	NM_001164291	1833	836	614	523	547	1564	213	485	616	880	801	1523	347	284	209	374	667	396
Cuedc2	NM_001164292	1830	836	614	523	547	1564	213	485	616	880	801	1523	347	284	209	374	667	396
Cuedc2	NM_001164293	1800	836	604	523	547	1564	213	485	616	880	800	1522	347	284	209	374	667	396
Cuedc2	NM_001164294	1779	835	601	522	547	1564	213	485	616	880	800	1520	346	283	209	374	667	396
Cuedc2	NM_001164295	1776	835	601	522	547	1564	213	485	616	880	800	1520	346	283	209	374	667	396
Cuedc2	NM_024192	1932	844	643	523	548	1564	213	485	616	880	830	1524	349	284	209	374	670	396
Cul1	NM_012042	3157	2668	2271	685	1012	2398	2105	1053	1841	1472	1808	1498	848	728	3325	3630	5565	3453
Cul2	NM_029402	4158	1139	1143	538	866	984	1985	404	502	301	470	482	362	367	1198	1402	2152	1290
Cul3	NM_016716	2764	3943	5334	1395	1584	5322	3620	2024	1937	2650	3464	3888	1062	1342	5653	5042	8130	4874
Cul4a	NM_146207	3627	1374	1233	592	737	3212	2138	2220	2524	1855	1071	1190	520	749	2928	2372	4118	2541
Cul4b	NM_001110142	5056	1028	1814	572	425	532	1136	561	1166	568	844	726	409	473	2130	2028	3023	1770
Cul4b	NM_028288	4997	1028	1814	572	425	532	1136	561	1166	568	844	726	409	473	2130	2028	3022	1769
Cul5	NM_001161618	5942	1797	1669	977	902	1975	1569	825	1031	607	988	892	679	533	2435	2322	3565	2090
Cul5	NM_027807	6023	1808	1683	990	907	1976	1570	825	1031	608	993	901	684	535	2439	2325	3571	2092
Cul7	NM_025611	5529	1269	1027	319	333	241	203	153	372	259	1182	770	358	291	267	532	805	457
Cul9	NM_001081335	7818	1154	1059	296	94	898	824	450	195	401	455	1267	209	356	244	378	616	328
Cuta	NM_026307	640	623	556	390	114	264	284	109	276	449	649	721	175	296	331	438	630	380
Cuta	NM_026948	597	618	550	389	112	264	284	108	276	449	644	716	174	296	331	438	630	380
Cutal	NM_030021	2312	0	137	0	0	0	23	0	0	0	0	0	2	1	1	2	1	2
Cutc	NM_001113562	1308	20	4	3	5	9	62	5	234	4	20	5	4	7	84	65	102	63
Cutc	NM_025530	1278	20	4	3	5	9	62	5	234	4	20	5	4	7	84	65	102	63
Cux1	NM_009986	5018	2762	2355	540	881	1703	2544	945	46	862	2372	3487	854	1260	2523	3181	4767	2779
Cux1	NM_198602	2972	2948	2988	881	1180	1729	2619	766	1017	837	2310	3277	716	1021	2290	2763	4269	2535
Cux2	NM_007804	5113	1907	1500	214	341	847	241	372	752	1130	1533	1633	651	616	473	797	1291	791
Cuzd1	NM_008411	2256	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
Cwc15	NM_023153	1152	694	1142	488	256	823	642	379	330	322	770	625	268	279	1039	1264	1903	1160
Cwc22	NM_030560	3279	192	179	548	2458	2194	3612	1568	1058	2139	302	66	817	3220	2112	4653	7458	4558
Cwc25	NM_026186	3306	321	171	58	97	197	229	287	302	47	324	123	98	54	173	256	373	229
Cwc27	NM_026072	1884	290	459	106	193	323	168	137	49	267	152	759	109	151	518	551	876	501
Cwf19l1	NM_001081077	3581	174	466	35	62	72	532	129	16	90	371	794	95	74	284	348	500	327
Cwf19l2	NM_027545	3953	340	478	53	101	122	324	258	364	146	300	173	153	100	766	774	1228	726
Cwh43	NM_181323	2713	0	0	0	0	1	0	86	0	0	1	0	0	0	1	1	3	4
Cx3cl1	NM_009142	3143	84	114	55	125	42	3	125	176	88	842	297	82	68	44	124	107	71
Cx3cr1	NM_009987	3729	0	0	1	0	0	0	0	0	0	0	0	0	6	126	142	200	121
Cxadr	NM_001025192	5538	6424	6567	3206	3341	9332	6821	2941	5734	2951	3814	3284	1735	1664	4554	4475	7073	4577
Cxadr	NM_009988	1733	1050	1167	213	580	62	349	163	46	93	925	472	379	204	343	614	943	565
Cxcl1	NM_008176	947	1	0	0	0	0	0	0	0	0	0	0	3	125	7	1	9	8
Cxcl10	NM_021274	1063	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	3
Cxcl11	NM_019494	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cxcl12	NM_001012477	5670	0	0	0	0	0	0	0	0	100	0	133	42	0	26	56	89	36
Cxcl12	NM_013655	3173	0	0	0	0	0	0	0	0	100	0	133	41	0	22	43	72	33
Cxcl12	NM_021704	1877	0	0	0	0	0	0	0	0	0	25	0	23	0	3	6	9	7
Cxcl13	NM_018866	1162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl14	NM_019568	1825	0	0	0	0	60	0	0	0	0	4	0	0	0	8	4	16	4
Cxcl15	NM_011339	2127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl16	NM_023158	2448	6	48	0	12	19	0	9	0	41	31	0	1	12	16	25	41	15
Cxcl17	NM_153576	760	0	0	2	0	0	0	0	0	0	0	0	1	13	3	5	7	5
Cxcl2	NM_009140	1083	0	0	0	0	0	0	0	0	0	0	0	2	64	2	2	10	5
Cxcl3	NM_203320	1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl5	NM_009141	1655	2	0	0	0	2	0	2	0	0	0	0	0	0	7	4	12	4
Cxcl9	NM_008599	2905	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cxcr1	NM_178241	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcr2	NM_009909	3043	0	0	0	0	2	0	0	0	0	0	0	0	0	6	14	19	11
Cxcr3	NM_009910	1608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cxcr4	NM_009911	1814	454	245	244	78	117	32	0	0	250	151	186	100	33	255	707	592	298
Cxcr5	NM_007551	2615	33	1	0	5	43	7	22	0	12	3	0	16	11	19	20	28	14
Cxcr6	NM_030712	1893	1	0	0	0	0	0	0	0	0	0	1	0	0	7	13	30	14
Cxx1a	NM_024170	1273	296	221	130	141	723	174	217	487	126	160	80	58	119	195	200	275	159
Cxx1b	NM_001018063	1232	400	364	209	276	946	628	237	899	393	174	143	103	202	402	345	521	323
Cxx1c	NM_028375	952	2081	2819	932	665	581	1109	734	717	1062	2033	796	294	519	205	444	652	441
Cxxc1	NM_028868	2537	1454	1043	332	268	735	156	478	391	326	539	1814	301	245	425	685	921	548
Cxxc4	NM_001004367	4677	3116	1949	1082	1211	2869	2832	314	272	532	1302	1478	1049	904	3753	4114	6108	3890
Cxxc5	NM_133687	2272	1975	1219	908	1207	1409	1496	380	761	776	1174	1787	856	1427	997	1395	2059	1291
Cyb561	NM_007805	2474	1176	970	220	193	697	712	401	470	136	160	172	114	131	159	185	306	176
Cyb561a3	NM_201351	2580	355	227	45	91	9	314	23	155	25	224	7	59	31	53	94	145	77
Cyb561d1	NM_001081320	4191	260	499	48	87	276	175	74	383	177	378	416	99	45	249	299	463	301
Cyb561d1	NM_028061	4058	260	491	48	87	276	175	74	383	177	377	401	99	45	249	297	462	301
Cyb561d2	NM_019720	1782	93	136	121	165	112	424	74	20	142	174	12	43	73	65	96	136	83
Cyb5a	NM_025797	749	609	472	354	397	533	676	270	321	348	263	409	200	111	586	552	940	537
Cyb5b	NM_025558	4294	2043	3111	1049	975	2314	2565	1022	1804	1166	1120	1865	653	476	1410	1969	2862	1855
Cyb5d1	NM_001045525	766	7	4	2	5	0	0	0	0	16	15	19	6	0	1	16	11	13
Cyb5d2	NM_001024926	2376	143	316	60	47	67	0	2	2	0	59	41	54	4	44	100	134	87
Cyb5r1	NM_028057	1626	70	188	70	77	481	208	47	195	62	40	15	23	56	99	100	156	95
Cyb5r2	NM_177216	2688	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	1
Cyb5r3	NM_029787	2030	4716	3944	692	925	2921	2490	911	468	772	2247	3321	451	832	765	2018	2948	1857
Cyb5r4	NM_024195	2629	254	564	142	122	466	227	198	467	289	220	288	119	129	506	402	632	357
Cyb5rl	NM_175471	1605	42	1	8	0	0	6	0	0	20	103	0	5	8	4	7	11	2
Cyba	NM_007806	759	0	0	0	0	0	0	0	0	0	0	0	4	30	4	14	22	8
Cybb	NM_007807	4752	1	1	0	1	0	0	0	0	0	0	0	0	0	4	5	8	4
Cybrd1	NM_028593	5208	6	0	0	0	157	0	0	0	84	75	889	281	43	902	1403	1813	1155
Cyc1	NM_025567	1194	2138	2507	815	822	1482	2695	820	2565	1755	1497	2549	532	552	715	1037	1526	903
Cycs	NM_007808	3059	134	23	25	23	118	63	46	124	2	84	1	36	14	56	68	72	61
Cyct	NM_009989	652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8
Cyfip1	NM_001164661	6524	694	551	351	292	326	948	303	386	115	896	981	401	348	1377	1435	2279	1436
Cyfip1	NM_001164662	6465	708	551	352	296	330	948	303	386	115	896	935	402	342	1370	1432	2271	1439
Cyfip1	NM_011370	6471	685	540	351	292	326	948	303	386	115	891	981	401	348	1376	1435	2278	1436
Cyfip2	NM_133769	6351	11968	13790	3929	4121	9218	9984	3674	2483	3774	6353	5119	1916	2463	5785	7212	10572	6395
Cygb	NM_030206	2331	293	65	16	29	0	97	11	99	93	582	93	61	80	29	82	118	89
Cyhr1	NM_019396	1587	397	775	195	151	76	297	309	132	485	227	284	193	106	244	446	596	361
Cyhr1	NM_180962	1166	42	98	33	57	36	39	34	122	22	63	129	24	17	33	58	72	51
Cylc1	NM_026134	1963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cylc2	NM_001162865	1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyld	NM_001128169	8234	1003	871	148	501	209	841	230	173	609	593	554	235	237	632	834	1410	797
Cyld	NM_001128170	8022	997	869	148	501	209	841	229	173	596	593	550	233	229	619	816	1395	787
Cyld	NM_001128171	8147	1003	871	148	501	209	841	230	173	609	593	551	235	237	632	834	1409	797
Cyld	NM_173369	8013	997	869	148	501	209	841	229	173	596	593	550	233	229	619	816	1395	787
Cym	NM_001111143	1234	0	0	0	0	0	0	0	0	0	8	0	0	46	0	2	3	3
Cyp11a1	NM_019779	1774	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	2	1
Cyp11b1	NM_001033229	2397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp11b2	NM_009991	1625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp17a1	NM_007809	1841	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	9	3
Cyp19a1	NM_007810	2373	4	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	1
Cyp1a1	NM_001136059	2619	4	0	1	4	6	0	0	0	0	0	0	0	0	1	1	5	1
Cyp1a1	NM_009992	2697	4	0	1	4	6	0	0	0	0	0	0	0	0	1	1	5	1
Cyp1a2	NM_009993	1892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp1b1	NM_009994	5128	0	0	0	0	0	0	1	0	0	0	5	0	0	254	216	344	213
Cyp20a1	NM_030013	1501	89	231	44	23	94	69	0	0	24	184	80	43	15	58	123	175	106
Cyp21a1	NM_009995	1923	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Cyp24a1	NM_009996	3296	0	0	0	4	0	0	0	0	0	2	0	13	0	2	3	11	4
Cyp26a1	NM_007811	1781	0	0	0	0	0	46	0	0	0	0	0	0	0	1	1	0	0
Cyp26b1	NM_001177713	4700	1	85	125	162	836	0	5	1	437	3711	3048	3619	1835	9901	10513	15911	9710
Cyp26b1	NM_175475	4751	1	85	125	162	836	0	5	1	437	3674	3043	3615	1836	9906	10523	15936	9717
Cyp26c1	NM_001105201	1557	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
Cyp27a1	NM_024264	1890	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	14	5
Cyp27b1	NM_010009	2420	97	2	9	0	0	0	0	0	0	14	37	0	3	5	6	13	7
Cyp2a12	NM_133657	1664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2a22	NM_001101467	2226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cyp2a4	NM_009997	1715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2a5	NM_007812	1715	6	7	9	2	1	2	23	0	0	0	0	0	0	1	10	6	4
Cyp2ab1	NM_183158	2735	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	3	0
Cyp2b10	NM_009999	1872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2b13	NM_007813	1876	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cyp2b19	NM_007814	2695	17	20	35	39	72	1	20	7	0	38	14	22	40	13	26	31	15
Cyp2b23	NM_001081148	2182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
Cyp2b9	NM_010000	1877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c29	NM_007815	1786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c37	NM_010001	1824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c38	NM_010002	2869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c39	NM_010003	1857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c40	NM_010004	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c44	NM_001001446	1964	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Cyp2c44	NM_001167905	1596	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Cyp2c50	NM_001167875	1657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c50	NM_001167877	1890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c50	NM_134144	1834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c53-ps	NR_033614	1443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c54	NM_206537	1772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c55	NM_028089	1989	0	0	2	0	0	0	0	0	0	0	0	9	0	1	1	2	3
Cyp2c65	NM_028191	1941	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1
Cyp2c66	NM_001011707	1630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c67	NM_001024719	1706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c68	NM_001039555	1769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c69	NM_001104525	1770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c70	NM_145499	1709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d10	NM_010005	1647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d11	NM_001104531	1590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d12	NM_201360	1624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Cyp2d13	NR_003552	1646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d22	NM_001163472	2771	0	0	0	0	0	0	23	0	0	4	23	12	4	22	26	51	32
Cyp2d22	NM_019823	2765	0	0	0	0	0	0	23	0	0	4	23	12	4	22	26	51	32
Cyp2d26	NM_029562	1645	0	0	0	1	0	0	0	0	0	7	0	2	0	4	0	9	3
Cyp2d34	NM_145474	1622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d37-ps	NR_033515	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d40	NM_023623	1102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Cyp2d9	NM_010006	1651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2e1	NM_021282	1736	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Cyp2f2	NM_007817	1820	22	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Cyp2g1	NM_013809	1853	0	19	0	0	0	3	0	0	0	0	0	0	0	1	2	2	1
Cyp2j11	NM_001004141	1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2j12	NM_001100182	1509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cyp2j13	NM_145548	4374	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2
Cyp2j5	NM_010007	3651	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Cyp2j6	NM_010008	3595	170	179	42	25	16	150	65	0	1	169	80	42	32	117	159	219	154
Cyp2j8	NM_001104927	1520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Cyp2j9	NM_028979	1944	28	0	0	5	0	0	0	0	0	7	35	0	0	38	52	94	52
Cyp2r1	NM_177382	1625	76	37	1	2	0	15	30	0	3	48	5	8	0	9	10	11	10
Cyp2s1	NM_028775	2621	10	362	32	21	19	54	58	3	19	16	26	3	28	10	19	20	13
Cyp2t4	NM_001100184	1512	52	68	2	2	8	0	0	0	0	148	64	12	9	5	14	20	19
Cyp2u1	NM_027816	2331	91	9	1	57	4	1	18	0	21	28	198	22	7	24	28	22	18
Cyp2w1	NM_001160265	1512	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Cyp39a1	NM_018887	3053	54	19	6	0	19	0	0	0	0	92	73	31	3	83	92	162	80
Cyp3a11	NM_007818	2053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a13	NM_007819	2955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a16	NM_007820	1730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a25	NM_019792	2002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a25	NR_030782	1914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a41a	NM_017396	2064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a41a	NM_017396	2060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a44	NM_177380	1962	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cyp3a57	NM_001100180	1589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp3a59	NM_001105160	1997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp46a1	NM_010010	2118	87	159	43	37	52	9	4	248	13	264	188	11	45	14	36	36	23
Cyp4a10	NM_010011	2085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a12a	NM_177406	2422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a12b	NM_172306	2395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a14	NM_007822	2495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a29	NM_001100183	1530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a30b	NM_001100185	1527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cyp4a31	NM_201640	2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a32	NM_001100181	1914	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cyp4b1	NM_007823	1871	7	0	0	0	9	0	0	0	0	0	0	0	0	1	1	2	2
Cyp4b1-ps2	NR_033575	564	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
Cyp4f13	NM_130882	1711	26	0	10	0	0	0	0	0	0	0	3	11	0	19	45	61	40
Cyp4f14	NM_022434	2199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Cyp4f15	NM_134127	2133	0	9	0	0	0	0	0	0	0	0	5	5	0	0	5	8	5
Cyp4f16	NM_024442	2167	167	164	3	44	36	150	99	0	15	31	148	19	44	57	72	158	52
Cyp4f17	NM_001101445	1693	5	83	7	0	2	231	0	0	16	274	32	11	4	11	21	43	31
Cyp4f18	NM_024444	1702	0	0	0	0	0	2	0	0	0	5	14	0	12	0	1	1	1
Cyp4f37	NM_001100187	2642	7	2	0	1	0	4	5	3	0	0	0	0	0	4	1	2	5
Cyp4f39	NM_177307	2618	44	0	18	9	75	0	7	0	0	1	0	0	0	3	6	8	2
Cyp4f40	NM_001101588	1578	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cyp4f41-ps	NR_033585	1114	0	0	0	4	6	0	0	0	0	0	0	14	0	1	1	11	2
Cyp4v3	NM_133969	2930	0	4	0	0	0	0	0	0	0	38	0	3	5	32	54	57	42
Cyp4x1	NM_001003947	1524	313	394	91	80	47	74	17	142	148	50	19	28	20	50	76	137	83
Cyp51	NM_020010	4353	3748	4881	2014	2150	3923	2905	2083	1692	1977	1972	1739	1108	920	3091	3346	5014	3090
Cyp7a1	NM_007824	4172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
